"baby" "ball" "cow" "daddy" "dog" "doggie" "duck" "duckie" "eye" "hi" "kitty" "mommy" "moon" "puppy" "teddy" "yes"
"baby" 0 3.60855789061951 5.55450658727089 6.05497524976485 4.39318638221206 5.26051725445077 5.38572798602844 6.31667646485854 3.80876295716201 5.55450658727089 6.5140702701285 3.34112304538296 5.97307374200139 3.66856466658322 6.16797255293921 6.74194079597469
"ball" 3.60855789061951 0 5.44910106861404 7.46122180573887 4.93972755847133 6.49744839774709 6.17844301506256 8.04720393435607 2.57681974534503 5.44910106861404 7.71090382638604 1.0770329614269 6.25105435951979 5.60578534691388 7.00253074020472 6.63653527731783
"cow" 5.55450658727089 5.44910106861404 0 6.43245367081904 2.51661147842358 5.67465942719891 5.21105787926988 6.9744953997446 2.87228132326901 0 5.3851648071345 5.14384466158912 5.94173543741989 5.06933635312105 6.45108678534748 1.18743420870379
"daddy" 6.05497524976485 7.46122180573887 6.43245367081904 0 3.91584219239545 1.19469010081629 2.69258240356725 0.873080080756753 5.65753645318366 6.43245367081904 3.75 7.10152410696317 8.00538695019291 5.88841254728686 2.35 7.61988787952283
"dog" 4.39318638221206 4.93972755847133 2.51661147842358 3.91584219239545 0 3.22259605090479 2.6944464008463 4.45788392132102 2.3629078131263 2.51661147842358 4.98387025104517 4.63447115144641 5.17231796550059 4.49010221046712 4.58429795177549 3.70404568712737
"doggie" 5.26051725445077 6.49744839774709 5.67465942719891 1.19469010081629 3.22259605090479 0 2.78517216569619 1.68851064521603 4.70181252410816 5.67465942719891 3.83973828834991 6.11976783538727 7.14333368014562 5.25153494831155 2.09086981615398 6.8620936359027
"duck" 5.38572798602844 6.17844301506256 5.21105787926988 2.69258240356725 2.6944464008463 2.78517216569619 0 3.27922862478599 4.43614066163451 5.21105787926988 5.83945417290014 6.15 6.78399115864376 5.77238381029642 4.69232921921325 6.39849208797367
"duckie" 6.31667646485854 8.04720393435607 6.9744953997446 0.873080080756753 4.45788392132102 1.68851064521603 3.27922862478599 0 6.19957818210923 6.9744953997446 4.29098190971263 7.60798152073066 8.54742867911848 6.38542031789055 2.12220550689245 8.16192960844839
"eye" 3.80876295716201 2.57681974534503 2.87228132326901 5.65753645318366 2.3629078131263 4.70181252410816 4.43614066163451 6.19957818210923 0 2.87228132326901 5.85486006373563 2.27156333832011 3.67423461417477 4.33270042214147 5.18174242292714 4.05971553197281
"hi" 5.55450658727089 5.44910106861404 0 6.43245367081904 2.51661147842358 5.67465942719891 5.21105787926988 6.9744953997446 2.87228132326901 0 5.3851648071345 5.14384466158912 5.94173543741989 5.06933635312105 6.45108678534748 1.18743420870379
"kitty" 6.5140702701285 7.71090382638604 5.3851648071345 3.75 4.98387025104517 3.83973828834991 5.83945417290014 4.29098190971263 5.85486006373563 5.3851648071345 0 7.38246722937022 8.38946322995842 5.7400713710889 4.04378175641545 6.5725990158383
"mommy" 3.34112304538296 1.0770329614269 5.14384466158912 7.10152410696317 4.63447115144641 6.11976783538727 6.15 7.60798152073066 2.27156333832011 5.14384466158912 7.38246722937022 0 5.94579795249488 5.24309458078026 6.53605063434259 6.33127887029292
"moon" 5.97307374200139 6.25105435951979 5.94173543741989 8.00538695019291 5.17231796550059 7.14333368014562 6.78399115864376 8.54742867911848 3.67423461417477 5.94173543741989 8.38946322995842 5.94579795249488 0 5.54109652994971 7.65403051128804 7.12916964612368
"puppy" 3.66856466658322 5.60578534691388 5.06933635312105 5.88841254728686 4.49010221046712 5.25153494831155 5.77238381029642 6.38542031789055 4.33270042214147 5.06933635312105 5.7400713710889 5.24309458078026 5.54109652994971 0 6.10200697148464 6.25677056182484
"teddy" 6.16797255293921 7.00253074020472 6.45108678534748 2.35 4.58429795177549 2.09086981615398 4.69232921921325 2.12220550689245 5.18174242292714 6.45108678534748 4.04378175641545 6.53605063434259 7.65403051128804 6.10200697148464 0 7.63852099405127
"yes" 6.74194079597469 6.63653527731783 1.18743420870379 7.61988787952283 3.70404568712737 6.8620936359027 6.39849208797367 8.16192960844839 4.05971553197281 1.18743420870379 6.5725990158383 6.33127887029292 7.12916964612368 6.25677056182484 7.63852099405127 0
