"baby" "ball" "cow" "daddy" "dog" "doggie" "duck" "duckie" "eye" "hi" "kitty" "mommy" "moon" "puppy" "teddy" "yes"
"baby" 0 5.33833371463184 5.96237610141999 6.32455532033676 5.80802897123297 5.80802897123297 8.97030663140135 6.47890245052378 5.29150262212918 6.67688018521387 6.6332495807108 5.29150262212918 8.11992974687537 2 6.47890245052378 6.67563964698657
"ball" 5.33833371463184 0 6.00920719392265 8.85486006373563 5.85486006373563 5.85486006373563 7.66227766016838 9.01713772390401 5.33833371463184 6.72371127771653 9.17148485409103 7.78782345741502 4.93703915854251 6.52100952831344 9.00920719392265 6.72247073948923
"cow" 5.96237610141999 6.00920719392265 0 6 3 3 6.16227766016838 6.16227766016838 3.16227766016838 2.69258240356725 3.16227766016838 6.92162569778276 7.30056307974577 5.99070478491457 5.82842712474619 3.63868107973205
"daddy" 6.32455532033676 8.85486006373563 6 0 3 3 6.16227766016838 3 6 6.77491721763537 4 8.24621125123532 9.95153275036385 6.6332495807108 1 6.2
"dog" 5.80802897123297 5.85486006373563 3 3 0 0 3.16227766016838 3.16227766016838 3 3.77491721763537 6.16227766016838 6.57259536840084 6.95153275036385 6.14505191510159 4 3.2
"doggie" 5.80802897123297 5.85486006373563 3 3 0 0 3.16227766016838 3.16227766016838 3 3.77491721763537 6.16227766016838 6.57259536840084 6.95153275036385 6.14505191510159 4 3.2
"duck" 8.97030663140135 7.66227766016838 6.16227766016838 6.16227766016838 3.16227766016838 3.16227766016838 0 6.32455532033676 6.16227766016838 6.93719487780375 9.32455532033676 9.73487302856922 8.36574631273695 9.30732957526997 7.16227766016838 6.36227766016838
"duckie" 6.47890245052378 9.01713772390401 6.16227766016838 3 3.16227766016838 3.16227766016838 6.32455532033676 0 6.16227766016838 6.93719487780375 5.82842712474619 8.59524158061724 10.1138104105322 6.47890245052378 4 6.36227766016838
"eye" 5.29150262212918 5.33833371463184 3.16227766016838 6 3 3 6.16227766016838 6.16227766016838 0 2.87228132326901 6.32455532033676 4.89897948556636 5.27791686752937 5.65685424949238 6.16227766016838 2.37486841740758
"hi" 6.67688018521387 6.72371127771653 2.69258240356725 6.77491721763537 3.77491721763537 3.77491721763537 6.93719487780375 6.93719487780375 2.87228132326901 0 5.85486006373563 7.16648030881148 7.54541769077449 6.98173905620523 6.90512483795333 3.83275357934736
"kitty" 6.6332495807108 9.17148485409103 3.16227766016838 4 6.16227766016838 6.16227766016838 9.32455532033676 5.82842712474619 6.32455532033676 5.85486006373563 0 8.94427190999916 10.4628407399141 6.32455532033676 3.82842712474619 6.80095873990043
"mommy" 5.29150262212918 7.78782345741502 6.92162569778276 8.24621125123532 6.57259536840084 6.57259536840084 9.73487302856922 8.59524158061724 4.89897948556636 7.16648030881148 8.94427190999916 0 5.27791686752937 6.32455532033676 8.59524158061724 5.86123416462957
"moon" 8.11992974687537 4.93703915854251 7.30056307974577 9.95153275036385 6.95153275036385 6.95153275036385 8.36574631273695 10.1138104105322 5.27791686752937 7.54541769077449 10.4628407399141 5.27791686752937 0 8.81913190966076 10.3005630797458 6.24017154659259
"puppy" 2 6.52100952831344 5.99070478491457 6.6332495807108 6.14505191510159 6.14505191510159 9.30732957526997 6.47890245052378 5.65685424949238 6.98173905620523 6.32455532033676 6.32455532033676 8.81913190966076 0 6.47890245052378 7.21476956463845
"teddy" 6.47890245052378 9.00920719392265 5.82842712474619 1 4 4 7.16227766016838 4 6.16227766016838 6.90512483795333 3.82842712474619 8.59524158061724 10.3005630797458 6.47890245052378 0 6.63868107973205
"yes" 6.67563964698657 6.72247073948923 3.63868107973205 6.2 3.2 3.2 6.36227766016838 6.36227766016838 2.37486841740758 3.83275357934736 6.80095873990043 5.86123416462957 6.24017154659259 7.21476956463845 6.63868107973205 0
