Speaker,Session,gloss1,AOP,subj_session
Alex,010427,why,16,Alex_16
Alex,010512,ball,17,Alex_17
Alex,010512,bat,17,Alex_17
Alex,010526,a,17,Alex_17
Alex,010526,ice,17,Alex_17
Alex,010614,slow,18,Alex_18
Alex,010707,sky,19,Alex_19
Alex,010707,this,19,Alex_19
Alex,010707,blue,19,Alex_19
Alex,010707,moo,19,Alex_19
Alex,010707,hi,19,Alex_19
Alex,010726,do,19,Alex_19
Alex,010726,it,19,Alex_19
Alex,010726,dog,19,Alex_19
Alex,010726,no,19,Alex_19
Alex,010726,what,19,Alex_19
Alex,010726,is,19,Alex_19
Alex,010726,what's,19,Alex_19
Alex,010726,that,19,Alex_19
Alex,010726,pull,19,Alex_19
Alex,010726,big,19,Alex_19
Alex,010811,bye,20,Alex_20
Alex,010811,boy,20,Alex_20
Alex,010811,towel,20,Alex_20
Alex,010811,shh,20,Alex_20
Alex,010811,go,20,Alex_20
Alex,010811,yes,20,Alex_20
Alex,010811,goose,20,Alex_20
Alex,010811,duckie,20,Alex_20
Alex,010811,he's,20,Alex_20
Alex,010825,moon,20,Alex_20
Alex,010825,meow,20,Alex_20
Alex,010825,eye,20,Alex_20
Alex,010908,but,21,Alex_21
Alex,010908,ow,21,Alex_21
Alex,010908,my,21,Alex_21
Alex,010908,did,21,Alex_21
Alex,010908,he,21,Alex_21
Alex,010908,woof,21,Alex_21
Alex,010908,take,21,Alex_21
Alex,010908,quack,21,Alex_21
Alex,010922,all,21,Alex_21
Alex,010922,gone,21,Alex_21
Alex,010922,and,21,Alex_21
Alex,010922,who,21,Alex_21
Alex,010922,spoon,21,Alex_21
Alex,011006,up,22,Alex_22
Alex,011006,apple,22,Alex_22
Alex,011024,down,22,Alex_22
Alex,011024,teeth,22,Alex_22
Alex,011024,egg,22,Alex_22
Alex,011024,the,22,Alex_22
Alex,011024,you,22,Alex_22
Alex,011103,those,23,Alex_23
Alex,011103,look,23,Alex_23
Alex,011103,boat,23,Alex_23
Alex,011103,to,23,Alex_23
Alex,011103,please,23,Alex_23
Alex,011103,me,23,Alex_23
Alex,011103,see,23,Alex_23
Alex,011103,was,23,Alex_23
Alex,011117,help,23,Alex_23
Alex,011117,bowl,23,Alex_23
Alex,011117,hits,23,Alex_23
Alex,011117,we,23,Alex_23
Alex,011117,juice,23,Alex_23
Alex,011117,how,23,Alex_23
Alex,011117,milk,23,Alex_23
Alex,011117,give,23,Alex_23
Alex,011117,ya,23,Alex_23
Alex,011117,need,23,Alex_23
Alex,011117,out,23,Alex_23
Alex,011117,us,23,Alex_23
Alex,011117,she,23,Alex_23
Alex,011117,on,23,Alex_23
Alex,011127,new,23,Alex_23
Alex,011127,cut,23,Alex_23
Alex,011127,zoo,23,Alex_23
Alex,011127,mine,23,Alex_23
Alex,020102,cheese,25,Alex_25
Alex,020102,in,25,Alex_25
Alex,020200,play,26,Alex_26
Alex,020217,pig,26,Alex_26
Alex,020217,an,26,Alex_26
Alex,020217,cake,26,Alex_26
Alex,020217,hat,26,Alex_26
Alex,020300,stay,27,Alex_27
Alex,020300,black,27,Alex_27
Alex,020300,his,27,Alex_27
Alex,020300,shoe,27,Alex_27
Alex,020314,white,27,Alex_27
Alex,020314,bean,27,Alex_27
Alex,020326,push,27,Alex_27
Alex,020326,box,27,Alex_27
Alex,020326,cup,27,Alex_27
Alex,020326,glove,27,Alex_27
Alex,020326,flag,27,Alex_27
Alex,020326,have,27,Alex_27
